file,uri,title,knowledge,skills,competence,eqf_level_id,isced_code
data/myh.se/30db6c96-1fc3-4250-b83e-cebc36df9b3b.json,https://www.myh.se/kvalifikationer?id=30db6c96-1fc3-4250-b83e-cebc36df9b3b,Quality assurance and testers in IT,"• The IT industry's various areas within quality control and testing • How the IT system development process is structured, its parts and work roles • The test process: test planning and test methods, test management, control and reporting • Scripted testing, exploratory testing and testing in different development methods • Test levels, e.g. ex. system test, acceptance test • Test tools: analysis and evaluation, when test tools are used and different test tool groups • Requirements and traceability, how requirements analysis and requirements specification are linked to quality control and testing: methods and techniques for requirements gathering, types of requirements tools, and how to convert requirements into effective and valid test cases • Test automation • Performance testing, test cases and test execution, error reporting, test documentation and templates • Building test environments • Fundamentals of object-oriented programming, design and code analysis • Software architecture structure and development process: build, test, deploy • Methods and standards in web development • Network communication, security and server programming in backend systems","• Test software, use manual and automated test methods, and practically use relevant combinations of test tools • Design tests using the most common test design techniques • Define a test environment based on reality-based test cases • Be able to choose guidelines for quality control of test assignments, and present them • Based on a business or a project needs, apply object-oriented analysis and design (OOAD), develop applications, and debug code in these • Design simpler database systems, and manage different methods for the database's storage structure and transaction management • Develop simpler web applications, as well as create a simpler application for the purposes of the business, based on given description • Work against existing backend and area-relevant APIs • Plan a small test project within IT and communicate it • Interpret given requirements and connect these to valid test cases, evaluate requirements and their testability in a test project, and mediate the evaluation to set requirements are • Communicate problem formulations and solutions in both Swedish and English to customers and colleagues","• Independently able to plan one's tasks and work actively in the professional role, as well as take an active part in a work group • Independently plan, time estimate, document, implement and monitor a test project • Formulate, come up with strategies regarding the development of databases, and choose test methods that are suitable in a given situation, plan, design and document these • Collaborate with colleagues, customers and suppliers to deliver long-term services that create satisfied customers • Independently handle practical and theoretical tasks within quality assurance and testing in such a way that it leads to further learning and professional development in the professional role",5,610
data/myh.se/0ef1b3a4-d306-4b8c-9f56-74f3eecb94f6.json,https://www.myh.se/kvalifikationer?id=0ef1b3a4-d306-4b8c-9f56-74f3eecb94f6,Construction engineer - construction,"1. cost and production planning, production economics and profitability calculations 2. construction and construction process 3. a selection of commonly used software and technical aids in the industry 4. practical leadership, communication and organizational development linked to the industry 5. contracting law, procurement regulations, laws, regulations, regulations and advisory publications within the construction industry 6. practical economics in the execution phase such as ÄTA, reconciliations, forecasts, invoicing, documentation, etc. 7. EU guidelines and rules 8. quality tools and quality processes within the work 9. technical solutions for construction and construction projects from a work environment perspective 10.methods for supplier assessments, cost breakdowns and product calculation 11.the structure of the request documents 12.practical working methods for risk analysis, planning and measurement 13.technical terminology both in Swedish and English 14.logistics in construction production, materials, environmental consequences","1. produce prices, calculate and carry out financial forecasts, reconciliations and evaluations 2. identify and analyze problems, communicate solutions and work tasks in a clear way in both Swedish and English 3. practically handle BIM technology in a construction and civil engineering project 4. handle the rules, regulations, laws and regulations applicable in the industry 5. apply different calculation methods for profitable calculations and to produce tender calculations 6. interpret and create tenders based on construction documents and request documents 7. prepare bill of quantities using descriptions and drawing documents 8. understand and be familiar with the construction process, from idea to management 9. use digital tools in various projects 10. identify theories and models for different leadership styles and development of groups 11. streamline purchases and deliveries of services and goods 12. assess time and material consumption for work steps 13. establish measurable goals in quality and environmental issues","1.apply methods for budgeting, financing and calculation and with the help of various calculations justify pricing and investment choices in different decision situations 2.participate in analysis and assessment of risks and challenges in the planning and implementation of sustainable, environmental, time and cost-effective projects 3 .use various financial tools to manage purchasing and logistics processes with regard to prepared strategies and set long-term goals and activity plans 4.apply the usual contractual situations that can arise in connection with a contract and identify and communicate solutions to contractual problems 5.apply methods to plan and carry out profitable cost assessments based on a request document and relevant construction documents and be able to write tender documents for calculations made 6. convey correct and clear information at the right time to the relevant target group in order to support, develop and quality-assure projects and create long-term collaborations",5,732
data/myh.se/a3f51278-1e8c-4232-a1bc-34842c5215ae.json,https://www.myh.se/kvalifikationer?id=a3f51278-1e8c-4232-a1bc-34842c5215ae,UX Designer,"- About the connection between human behavior and experience in the use of digital platforms and interaction - In technology, strategy and design within digital services - About how idea, function and user experience interact - User adaptation and insights in a user experience - In requirements and customer competence of the customer - In design process and design tools - In brand strategy work and communication platforms - In prototype design - About vision, business concept and goals - In brand profiling and company core values - In data collection - In test and evaluation methods - In measuring usability - In interpreting statistics and data - In planning projects / UX Planning","- Exercise the professional role as UX Designer - Run and implement an effective design process - Work user-friendly - Create UX design that leads to the desired result/behavior - Develop strategies within UX - Test usability through different test strategies - Choose design based on user needs and behavior - Optimize the user experience - Make decisions based on the target group's perspective and needs - Communicate professionally in a UX design process at all stages - Create prototype and design sketches and ""use cases"" - Collect and interpret data - Iterate in multidisciplinary teams - Use current industry-specific terminology","- Work for ease of use - Create a functional and good experience for users - Drive and implement a design process - Solve problems creatively to achieve the best user experience - Create UX design linked to brand strategy - Strategically work towards solutions that meet set behavioral goals - Use behavioral science theories in the design process - Investigate, analyze and evaluate all steps of a user experience - Plan, lead and produce strategic, effective and validated UX",5,619
data/myh.se/60edc9d5-6bc1-4cec-8033-485673faf667.json,https://www.myh.se/kvalifikationer?id=60edc9d5-6bc1-4cec-8033-485673faf667,Solar technician,"1. constituent components of a solar power system 2. solar panel components and structure 3. battery storage and smart systems 4. solar cell installations on buildings 5. roof structures 6. practical electrical theory and its application 7. rules, support systems and insurance for solar technology 8. project methodology and project planning 9. contract and procurement 10. the sales process and the customer's purchase process 11. LCC – Life Cycle Cost 12. scientific and critical approach","1. based on the roof angle, direction and solar radiation, calculate electricity production from solar panels 2. independently calculate and dimension a solar system 3. dimension a battery system 4. determine the placement of solar cells and justify your proposal 5. plan assembly of a solar system on different roof materials and roof structures 6. read and draw an electrical diagram 7. interpret and apply current rules and regulations within the subject area 8. run and manage a project from start to finish 9. draw up and interpret request documents and agreements 10. respond to a procurement request correctly 11. plan, implement and evaluate practical sales work 12. calculate the profitability of a solar cell plant 13. plan, compile, implement and document a project on a scientific basis 14. oppose and critically review","1. independently calculate based on various conditions, compile and account for losses and gains in the system 2. independently dimension battery systems and analyze the benefit of a battery warehouse, and justify the analysis 3. determine prerequisites for, plan and carry out an installation 4. independently lead and be responsible for all parts and participants of a project, as well as critically review and evaluate the result 5. independently recommend a suitable solar cell plant, justify the chosen model, and present investment costs based on LCC 6. independently draw up agreements, design a procurement process and respond to a procurement request 7. plan and implement a sales process and create additional sales 8. communicate commitments and solutions within a work area in English. 9. plan, implement, document, discuss and evaluate a project with a scientific and critical approach and oppose",5,713
data/myh.se/73eeccbc-8888-433b-b656-d54fa48f42b7.json,https://www.myh.se/kvalifikationer?id=73eeccbc-8888-433b-b656-d54fa48f42b7,Wood sculptor/Wood carver/Wood craftsman,1. Specialized knowledge of wood sculpting and wood carving as well as its craft tradition and contemporary professional practice 2. Knowledge of furniture carpentry and woodcraft with hand tools and machines 3. Knowledge and overview of the history and development of the craft profession as well as rules for journeyman and master exams 4. Knowledge of commonly used tools and equipment including its maintenance and processing 5. Knowledge of safety measures and the importance of preventive measures in the work environment from a sustainable and environmentally friendly way 6. Knowledge of materials and processing techniques in woodcraft 7. Knowledge of entrepreneurship as an approach in the professional role as a craftsman and its importance for the future 8. Knowledge of different style periods and associated ornamental expressions 9. Knowledge of traditional and contemporary design 10. Knowledge of technical language in English to be able to meet an international labor market and assimilate English course literature,"1. Skills in producing drawing materials for the production or presentation of wood sculptural works 2. Skills in processing materials and materials for craft execution, manually and mechanically 3. Skills in woodworking with hand tools with high aesthetic and quality requirements 4. Knowledge in machine work and tool handling in wood","1. Competences to work independently with the production of wooden ornaments, both in series production and in piece production 2. Competence to be able to produce and price qualitative craft work for projects and sales based on the approach of entrepreneurship 3. Have knowledge of the importance of entrepreneurship as an approach and in a successful business as a craftsman 4. Competence in independently designing and manufacturing objects in wood",5,722
data/myh.se/c94101b9-1d16-4994-837e-91cf8b408bc9.json,https://www.myh.se/kvalifikationer?id=c94101b9-1d16-4994-837e-91cf8b408bc9,Construction engineer railway,"1.1 the railway system from a technical, economic, environmental and traffic safety perspective 1.2 the decision-making process for a railway project from idea to start of construction 1.3 technology, design, operation and maintenance of track, electricity, signal and telecommunication facilities (best) 1.4 the procurement process of new and reinvestment works as well as operation and maintenance 1.5 cost models and profitability calculation in railway production 1.6 different design stages and regulations governing drawings/models 1.7 work environment and safety in track environment 1.8 maintenance technology for railway facilities 1.9 different process models in railway production 1.10 condition control of railway facilities 1.11 work management: time and resource planning 1.12 professionally relevant English terminology and vocabulary 1.13 oral presentation of professionally relevant subject in Swedish and English.",. for the professional role in Swedish and English.,"3.1 manage personnel within railway production 3.2 ensure that safety regulations when working in a track environment are followed 3.3 interpret current regulations and be able to apply them in railway projects 3.4 communicate and interact with various parties relevant to the professional field 3.5 collaborate with the various actors specific to railway projects 3.6 plan, lead and drive projects towards set goals regarding finance, quality and safety 3.7 Work for own competence development.",5,732
data/myh.se/e34dc4e5-1387-4404-ac51-5458a10929bb.json,https://www.myh.se/kvalifikationer?id=e34dc4e5-1387-4404-ac51-5458a10929bb,Game graphics,"1. to explain the principles of color, shape, line and perspective through examples of its use in game graphics 2. to account for and development of 3D in games 3. the principle behind 3D by developing examples in high and low poly 4. to explain the principles of anatomical modeling of humanoids and other creatures 5. to explain the principle of non-organic modeling 6. to explain the principle of rigging 3D models 7. to understand and explain the importance of a well-functioning group dynamic process 8. to understand and explain elementary principles of agile work methodology 9. the conditions for the professional roles a graphic designer has at different types of game companies 10. industry knowledge 11. to explain the twelve animation principles 12. to understand the principles behind materials and light in 3D.","1. identify, analyze and create a 3D model 2. identify and follow a given framework produce an image using traditional techniques 3. identify and follow a given framework produce a digital 2D image 4. identify and follow a given framework produce 2D images from a 3D scene 5. describe methods in 3D modeling and produce 3D objects according to specified specifications 6. produce advanced organic 3D models in digital sculpting software 7. apply techniques used for texturing 8. apply techniques used for texturing and UV mapping 9. identify and construct shaders for 3D models for games 10. produce a communicative and clear portfolio in English 11. create and implement working 3D for games 12. collaborate in groups and relate to and act on feedback 13. produce moving video material 14 .create playable games for an international market following given framework","1. collaborate cross-disciplinary, weigh the challenges of the different professional categories and adapt one's own work effort to them in the best way 2. be responsible for one's creation process from reference to finished result 3. be responsible for the implementation process of 3D graphics in a game project 4. take responsibility for a development process , and lead the work to completion through effective communication 5. present your own professional portfolio, as well as independently use it in an international context to secure your LIA place. 6. independently process and professionally develop own material and jointly with others effectively complete submitted game projects 7. write a professional curriculum vitae and personal letter and give feedback to other people's documents in order to prepare for a future leadership situation 8. estimate, plan and follow up on one's tasks according to given time frames",5,211
data/myh.se/efc9205d-1403-4e3a-a843-9a788e3f7ed2.json,https://www.myh.se/kvalifikationer?id=efc9205d-1403-4e3a-a843-9a788e3f7ed2,Specialist nurse - Palliative care,"1. Methods for optimal symptom relief in palliative care 2. Behaviour, treatment and professional approach; understanding and respect for differences 3. The specialist nurse's role and responsibility in the team-based work 4. Ethical dilemmas in the end of life 5. Palliative care philosophy based on the WHO definition and the palliative value base 6. Knowledge management in care with a focus on quality registers, national knowledge support and care programs 7 Current legislation, regulations and documentation according to current constitutions 8. Relative support and caring conversations 9. Grief and crisis management 10. The different phases of dying and the specific end-of-life care 11. Communication, conversation and supervision methodology as well as pedagogy and rhetoric 12. Different cultures and cultural differences and its impact 13. Physical, psychological, social and existential needs in connection with severe illness and death 14. The importance of good nutrition in connection with palliative care 15. The importance of oral health","1. Collaborate, plan and implement development measures within palliative care 2. Supervise colleagues in complex care measures 3. In a professional manner, be able to provide care and care in the final stage of life based on the needs and wishes of the care recipient and those close to him, work person-centered 4. Communicate with people with different ethical and cultural background 5. Talk about issues from a multidimensional perspective 6. Collaborate with care recipients and relatives for good care and see and meet their needs for advice and support 7. Meet and support people in crisis 8. Document according to current legislation 9. Analyze the effect of various nursing measures 10. Adapt nutrition based on the individual's needs in consideration of the environment and ethical and cultural background","1. Act as a resource person for caregivers, the patient and relatives 2. Discuss and take a position on various ethical dilemmas in palliative care 3. Identify and handle various ethical issues and dilemmas 4. See the specialist nurse's specific role in the palliative care team 5. Identify needs and use methods and tools for symptom relief 6. Assess, plan, implement and follow up care with the aim of preserving quality of life and a meaningful life for the care recipient 7. Responsible for supervision and teaching of care staff within the specialist area 8. Ensure good oral health for the care recipient",5,913
data/myh.se/bef5e684-a14e-4157-90be-ebda918c7631.json,https://www.myh.se/kvalifikationer?id=bef5e684-a14e-4157-90be-ebda918c7631,Gardener,− An extensive range of plants − Different theories about ecosystem services − Prevailing environmental considerations in all phases of practical garden design − Adaptation of accessibility of green public areas − Cooperation between different levels or functions within a work project − Cooperation between different professional categories in the industry − Characteristic features of different leadership styles and their - and disadvantages − Development steps and phases in group processes related to the educational field and the professional role of gardener,"− Describe an extensive range of plants with both Swedish and scientific names of perennials, bulbs and tuberous plants, summer flowers and woody plant material − Describe the properties and development of plants in both a short and long perspective and give an account of their function and suitable areas of use − Be responsible for and work practically with care and maintenance of parks and gardens based on a qualitative and financial sustainability perspective − Create management plans based on identified needs − Calculate costs for implementation and maintenance and maintenance needs for a design idea − Establish plantings so that ecosystem services can occur naturally − Identify needs and with various pruning techniques and tools prune woody plant material in a professional manner − Present and account for proposed ideas and completed work orally, in writing and with the support of computer technology − Communicate commitments and solutions in the field of work or study in English","− Carry out practical work and supervision based on identified needs − Act as an advisor regarding care and maintenance for a landscaped park or garden − Shape a garden idea from sketch to finished project − Choose plant assortments for different types of plants based on aesthetic design, the conditions and requirements of the plant site, care needs and the use of the site − Act as an advisor before plant selection, area of use or handling of plants in connection with design projects − Explain the results of ecosystem services in different types of green environments − Explain the overall picture and special care needs in the establishment of larger garden designs − Carry out minor control of play environments in outdoor environments − Actively contribute to the work efforts of a work team to meet goals − Act as a supervisor or supervisor in the professional area for subordinate staff or work teams − Act as a supervisor for a group with tasks related to the training area",5,812
data/myh.se/6bfa4cbc-5631-4410-8761-1e74eac00ed9.json,https://www.myh.se/kvalifikationer?id=6bfa4cbc-5631-4410-8761-1e74eac00ed9,Technology informant,"- Specialized knowledge in technical documentation and information design in the professional role of technology informant - Knowledge of and overview of adjacent professional and competence areas such as laws, standards, ethics, pedagogy and technology - Knowledge of work processes and quality criteria in technical documentation and information design in the professional role of technology informant","- Plan, execute and identify resources to carry out specialized tasks within technical documentation, illustration, visualization and graphic design in the professional role of technology informant - Solve complex problems in technical documentation, illustration, visualization and graphic design in the professional role of technology informant - Communicate commitments and solutions regarding technical documentation and information design in the professional role as technical informant in both Swedish and English","- Independently process technical documentation, illustration, visualization and graphic design in such a way that it leads to further learning and professional development in the professional role of technical informant - Independently monitor laws and regulations in technical documentation and complete submitted projects in the professional role of technical informant",5,321
