file,uri,title,description,eqf_level_id
data/nlqf/3a133292-db29-46f5-b1c5-bc33d8bc08c3.json,http://purl.s-bb.nl/data/3a133292-db29-46f5-b1c5-bc33d8bc08c3,Biologisch medisch analist,"The biological medical analyst examines material that comes from living organisms. He is versatile and works in various sectors, such as the factory farming industry, hospitals, inspection services, research institutes or universities. His activities depend on the working environment. For example, he cuts and pastes DNA to improve plant varieties or works with fermenters to produce medicines through bacterial or cell culture. He can also work in a diagnostic laboratory, where the results of his analyzes are used to diagnose or determine the treatment of patients. He analyzes biochemical processes and types and determines biomolecules, cells and organisms. He also analyzes biological and non-biological environmental factors. Fields in which the biological medical analyst usually works are: clinical chemistry, biochemistry, biotechnology, pathology and microbiology.

The most important activities of a Biological medical analyst are: Core task B1-K1 Prepares analyzes Makes a schedule Receives and registers material Processes material for Core task B1-K2 Performs analyzes Performs basic analyzes Assess and reports measurement values Maintain workplace and equipment Core task P3-K1 Performs specialist analyzes Performs biological medical analyzes Interprets analysis results Core task P3-K2 Supports research and education Optimizes techniques Transfers knowledge",4
data/nlqf/0cbc4985-5f30-4518-bdd1-d2cc64de5164.json,http://purl.s-bb.nl/data/0cbc4985-5f30-4518-bdd1-d2cc64de5164,Allround betonstaalverwerker bouwplaats (Gewijzigd 2016),"The all-round concrete steel processor construction site works outside on a construction site, on braided and set reinforcement constructions. He also organizes the work of colleagues and has a more guiding role. He has a flexible attitude to work; he often works at great heights and under changing weather conditions. In addition to substantive expertise about various types of materials, tools and techniques, he has knowledge of business operations. The all-round concrete steel processor on the construction site receives the assignment from his manager. He works independently on the assignments and is responsible for a good work approach within his assignment. He is also responsible for stocking all materials.

The most important activities of an All-round reinforcing steel processor on the construction site are: Core task B1-K1 Processes reinforcing steel Prepares reinforcing steel work Sorts material in order of processing and prepares the workplace Assembles reinforcement structures Transports product and stores it Core task P3-K1 Organizes daily activities of colleagues Distributes work and supervises colleagues Monitors quality and checks compliance with regulations Consults and coordinates with third parties Monitors progress Reports to manager",3
data/nlqf/d55879ae-72ba-44a2-a551-e670b6aff918.json,http://purl.s-bb.nl/data/d55879ae-72ba-44a2-a551-e670b6aff918,Aankomend onderofficier grondoptreden (Gewijzigd 2019),"The prospective non-commissioned officer on the ground operations is looking into a possible career as a manager in a branch of the armed forces. He is being prepared for his future role as a craftsman, leader and instructor in barracks and in the military field. He maintains himself in the military ""safe"" environment and coordinates the tasks of his (small) unit. His duties lie on the dividing line between command and execution, but under all circumstances he must act as the future supervisor of incoming ground operations personnel. He is prepared for complicated and stressful military activities and develops the tactical and strategic insight to ensure that he and his team members work safely in high-risk, life-threatening circumstances. He is always aware of his (military) exemplary function and behaves accordingly. He also learns to live in primitive conditions in the field.

The most important duties of a Prospective NCO for ground operations are: Core task B1-K1 Ensures his/her deployability as a soldier Stays and exercises at a military location Trains and maintains his/her deployability Prepares and keeps his/her equipment and material ready for deployment Core task B1- K2 Contributes to the safety and security of the (military) location Performs security tasks Acts in the event of incidents and calamities Core task P3-K1 Provides leadership Develops and issues a plan for a team assignment Prepares his/her team for the execution of the assignment Sends his/her team Completes the execution of the assignment Core task P3-K2 Trains with his/her team Prepares instruction and/or training Provides instruction and/or training to his/her team Supervises the team and team members Conducts interviews with team members Evaluates the results of instruction and/or training Core task P3-K3 Acts in the operational environment Stays in the operational environment environment Moved in the operational environment Contributes to the collection of information in the operational environment",3
data/nlqf/f2fa56cb-c710-4457-b739-814ba70abaf6.json,http://purl.s-bb.nl/data/f2fa56cb-c710-4457-b739-814ba70abaf6,Touringcarchauffeur (Gewijzigd 2021),"The coach driver drives a coach in the Netherlands and abroad. It transports passengers during a day trip or multi-day trips. He is also responsible for proper route planning and maintenance of the coach. He is in possession of a medical certificate and a certificate of good conduct. He gets along well with different types of people and has sufficient modern foreign languages, including English. He works independently and is responsible for good service and guidance of passengers. In order to do this optimally, he coordinates the wishes with passengers, supervisors or family. He is skilled in dealing with modern digital means for consulting information sources.

The most important activities of a coach driver are: Core task B1-K1 Transports people by road Checks and takes care of the vehicle and the aids Participates professionally in traffic Drives according to a route planning, timetable or travel schedule Acts in the event of accidents/incidents in the traffic Core task B1-K2 Deal with passengers in a professional manner Informs and advises passengers Prevents problems with and between passengers and acts accordingly Settles bills and checks tickets/travel documents Core task P3-K1 Provides assistance to passengers Provides service to passengers Accompanies passengers from different target groups Keeps records Core task P3-K2 Ensures route time planning and maintenance of the vehicle Prepares a trip order Performs minor repairs",2
data/nlqf/435dabde-73a3-4c4e-bccf-c2e75a52482d.json,http://purl.s-bb.nl/data/435dabde-73a3-4c4e-bccf-c2e75a52482d,Eerste monteur service en onderhoud werktuigbouw (Gewijzigd 2016),"The first mechanic service and maintenance mechanical engineering works at a technical service or maintenance department of production and service companies specializing in mechanical engineering. The work consists of repairing, maintaining and troubleshooting the mechanical engineering part of equipment and installations. He has a sense of responsibility, is confident and takes initiatives. He works by himself in accordance with the regulations in the field of safety, health and the environment. He wants to deliver quality work. He has analytical skills and technical insight and acts appropriately in assignments that are incomplete or based on incorrect assumptions. He never leaves unsafe situations. He has a service-oriented, correct and customer-oriented attitude.

The most important activities of a First Mechanic service and maintenance mechanical engineering are: Core task B1-K1 Inspects equipment, installations and systems Prepares for inspection of equipment, installations and systems Takes precautions for the inspection work Performs sensory inspection of equipment, installations and systems Takes measurements and tests on equipment, installations and systems Makes an initial diagnosis and reports results Completes inspection work on equipment, installations and systems Core task B1-K2 Optimizes equipment, installations and systems and resolves malfunctions Prepares and optimizes work to remedy malfunctions of equipment, installations and systems Takes precautions to remedy malfunctions and optimize equipment, installations and systems Dismantles, edits, repairs and assembles components of equipment, installations and systems Checks and tests work performed on equipment, installations and systems Delivers equipment, installations and systems Completes maintenance and modification work Core task P3-K1 Locates (single) faults in the mechanical engineering part of equipment, installations and systems Prepares to locate faults in the mechanical engineering part of equipment, installations and systems for Locates and analyzes (simple) faults in the mechanical engineering part of equipment, installations and systems Adjusts and adjusts the mechanical engineering part of equipment, installations and systems Supervises less experienced colleagues",3
data/nlqf/cc33963d-e66d-4a4d-b1dd-8645e3bea65b.json,http://purl.s-bb.nl/data/cc33963d-e66d-4a4d-b1dd-8645e3bea65b,Tekenaar ontwerper werktuigkundige installaties,"The draftsman designer of mechanical installations works at a technical consultancy firm. He makes drawings for the construction of mechanical installations. These can be new installations, but also changes to existing installations. His drawings are the basis of the design and he knows how to translate complicated requirements and regulations into a drawing that is practically feasible. The draftsman designer mechanical relations is customer-oriented, quality-conscious, cost-conscious and he thinks ahead. He works independently and is responsible for the good quality of his work. He works in teams on large projects.

The most important activities of a draftsman designer of mechanical installations are: Core task B1-K1 Draws a product or installation Collects information for drawing for technical products and installations Makes drawings Draws up material overviews Completes work Core task P5-K1 Supports the design of mechanical installations Consults and advises internally and on location on mechanical installations to be designed Makes a sketch of mechanical installations to be constructed Makes drawings and material overviews for (parts of) mechanical installations Makes maintenance and operating instructions Optimizes the installation process of mechanical installations",4
data/nlqf/4f3bfbab-8169-4e46-aeae-7a4eb3e3ed3e.json,http://purl.s-bb.nl/data/4f3bfbab-8169-4e46-aeae-7a4eb3e3ed3e,Luchtvaartdienstverlener,"The aviation service provider, also known as a flight attendant, is often deployed together with colleagues in the following activities: floorwalking, baggage handling, providing full service check-in, supervising special passengers, preparing the flight, checking equipment, supervising the boarding and disembarking process, informing passengers during the flight and taking care of passengers during the flight. The aviation service provider is increasingly deployed at an extra checkpoint at the gate. Activities such as checking passports will increasingly take place at the gate. The airline service provider often works outside office hours and usually in an irregular work pattern. He needs people skills and must be aware of the safety risks. Safety is becoming an increasingly important item in this profession.

The most important activities of an Aviation Service Provider are: Core task B1-K1 Provides service to international passengers/guests Informs and assists passenger/guest Acts in case of complaints Ensures safety Performs in an international team Sells additional products/services Core task B1-K2 Accompanies passengers/guests at the airport Handles passengers and baggage Accompany passengers boarding and disembarking from the ground Handles special baggage Core task B1-K3 Accompany passengers in the aircraft Prepares the flight Accompanies boarding and disembarkation of passengers from the aircraft Accompanies and cares for passengers during the flight Completes cab duties",4
data/nlqf/4726910e-bb6b-44c6-a1a5-f944af3a00e2.json,http://purl.s-bb.nl/data/4726910e-bb6b-44c6-a1a5-f944af3a00e2,Vakbekwaam medewerker groen en cultuurtechniek (Gewijzigd 2016),"The skilled green and cultural engineering employee works on greenery, land and infrastructure in the public space; he maintains natural playgrounds, outdoor furniture in public spaces and recreational lakes. Possible tasks include earthmoving, tillage, tree care and mowing the lawn. To do that work, he can operate machines and tools, always being alert to the safety of himself and others. In addition to his executive activities, he is responsible for managing several employees. He can guide colleagues in the technical field and guarantees the progress of the work. His goal is that the designated green space is created, managed and maintained as agreed; with attention to sustainability and the social and economic function.

The most important activities of a skilled green and cultural engineering employee are: Core task B1-K1 Carrying out work for the construction/design and maintenance/management of nature, soil and water Takes care of nature, soil and water Uses tools for construction/design and management/maintenance Communicates with customers, guests, the public and/or third parties Performs preparatory and final work related to construction/furnishing and maintenance/management Core task P5-K1 Executing and supervising landscaping and cultural engineering activities Operates machines for landscaping and cultural work Carries out maintenance on machines and tools Supervises employees in technical matters Monitors the planning at the execution location",3
data/nlqf/81f0665b-b6d3-4d78-910e-7882fba173a5.json,http://purl.s-bb.nl/data/81f0665b-b6d3-4d78-910e-7882fba173a5,Medewerker Havenoperaties (Gewijzigd 2023),"The port operations employee works in a company in or near the port and is engaged in loading, unloading and storage of goods. He is flexible; he responds well to unforeseen weather and work situations and safety is one of his priorities. The port operations officer works together with others and is responsible for his own tasks. He acts at his own discretion and is responsible for his own safety. His manager has final responsibility and the port operations officer is accountable to this.

The most important activities of a Port Operations Employee are: Core task B1-K1 Loads, unloads, checks and transports cargo in a port area Prepares loading, unloading, transport and/or storage of cargo Carries out loading, unloading, transport and/or storage of cargo Checks the cargo Core task B1-K2 Ensures safe and damage-free transport Prepares for securing, releasing and stowage of cargo and/or means of transport Stows cargo and/or secures or loosens cargo and/or means of transport Completes stowage, securing and unfastening of cargo and/or means of transport",2
data/nlqf/666c2b31-b298-4f8d-b03f-6b4af0142845.json,http://purl.s-bb.nl/data/666c2b31-b298-4f8d-b03f-6b4af0142845,Autoschadehersteller (Gewijzigd 2023),"The bodyshop carries out dismantling, replacement and repair work on non-structural parts of vehicles and vehicle systems. He/she has an executive role and receives work orders from the manager. He/she has technical insight and carries out the assignments according to standard routine and established procedures. The car body repairman works independently, under the supervision of the direct manager and colleagues. He/she is responsible for the proper performance of his work, and calls in colleagues in the event of bottlenecks. He/she is accountable to the manager for the progress of his/her work.

The most important activities of a car body repairer are: Core task B1-K1 Performs replacement and repair work on non-structural parts of vehicles Prepares for disassembly, replacement and repair work (Dis)assembles and/or replaces non-structural body parts of vehicles Repairs bodywork damage to non-structural parts of vehicles Checks the (dis)assembly and/or replacement and/or repair work and completes the work assignment Core task B1-K2 Replaces and/or repairs (parts of) vehicle systems Determines whether there is damage to (parts of) ) vehicle systems (Dis)assembles and/or replaces and/or repairs (parts of) vehicle systems",2
